"datasetid","sitename","type","age","geoagetype","depth","limityounger","limitolder","geochron.radiocarbonmethod","geochron.geochronmaterialdated","geochron.geochronerrorolder","geochron.geochronerroryounger"
1000,"Hafichuk Site","Radiocarbon",10270,"Radiocarbon years BP",285,9970,10570,"proportional gas counting","clay gyttja",150,150
1000,"Hafichuk Site","Radiocarbon",10630,"Radiocarbon years BP",390,10330,10930,"proportional gas counting","clay gyttja",150,150
1000,"Hafichuk Site","Radiocarbon",11650,"Radiocarbon years BP",495,11350,11950,"proportional gas counting","clay gyttja",150,150
1001,"Hail Lake","Core top",0,NA,0,0,0,NA,NA,NA,NA
1001,"Hail Lake","Radiocarbon",2870,"Radiocarbon years BP",128,2820,2920,"accelerator mass spectrometry","Carbonized twigs and wood frag",50,50
1001,"Hail Lake","Radiocarbon",4840,"Radiocarbon years BP",204,4830,4930,"accelerator mass spectrometry","Carbonized spruce needle, inse",50,50
1001,"Hail Lake","Radiocarbon",5860,"Radiocarbon years BP",236,5450,6270,"accelerator mass spectrometry","Carbonized spruce needle, inse",410,410
1001,"Hail Lake","Radiocarbon",8440,"Radiocarbon years BP",358,8370,8510,"accelerator mass spectrometry","Spruce needles and wood frags",70,70
1001,"Hail Lake","Radiocarbon",8820,"Radiocarbon years BP",398,8750,8890,"accelerator mass spectrometry","Spruce needles and wood frags",70,70
1001,"Hail Lake","Radiocarbon",8930,"Radiocarbon years BP",423,8860,9000,"accelerator mass spectrometry","Spruce needles and wood frags",70,70
1001,"Hail Lake","Radiocarbon",9500,"Radiocarbon years BP",482,9420,9580,"accelerator mass spectrometry","Monocot frags",80,80
1002,"Hams Lake","Radiocarbon",430,"Radiocarbon years BP",879,270,590,"proportional gas counting","gyttja",80,80
1002,"Hams Lake","Radiocarbon",1480,"Radiocarbon years BP",938,1320,1640,"proportional gas counting","gyttja",80,80
1002,"Hams Lake","Radiocarbon",2670,"Radiocarbon years BP",994,2510,2830,"proportional gas counting","gyttja",80,80
1002,"Hams Lake","Radiocarbon",3350,"Radiocarbon years BP",1053,3190,3510,"proportional gas counting","gyttja",80,80
1002,"Hams Lake","Radiocarbon",4270,"Radiocarbon years BP",1112,4110,4430,"proportional gas counting","gyttja",80,80
1002,"Hams Lake","Radiocarbon",5970,"Radiocarbon years BP",1171,5710,6230,"proportional gas counting","gyttja",130,130
1002,"Hams Lake","Radiocarbon",7500,"Radiocarbon years BP",1230,7260,7740,"proportional gas counting","gyttja",120,120
1002,"Hams Lake","Radiocarbon",8610,"Radiocarbon years BP",1289,8330,8890,"proportional gas counting","gyttja",140,140
1002,"Hams Lake","Radiocarbon",9130,"Radiocarbon years BP",1348,8870,9390,"proportional gas counting","gyttja",130,130
1002,"Hams Lake","Radiocarbon",10400,"Radiocarbon years BP",1404,10100,10700,"proportional gas counting","gyttja",150,150
1003,"Hanging Lake","Core top",0,NA,0,0,0,NA,NA,NA,NA
1003,"Hanging Lake","Radiocarbon",1870,"Radiocarbon years BP",15.5,1510,2330,"proportional gas counting","organic silt",180,180
1003,"Hanging Lake","Radiocarbon",2930,"Radiocarbon years BP",25.5,2670,3190,"proportional gas counting","organic silt",130,130
1003,"Hanging Lake","Radiocarbon",5100,"Radiocarbon years BP",30.5,4740,5460,"proportional gas counting","organic silt",180,180
1003,"Hanging Lake","Radiocarbon",4360,"Radiocarbon years BP",55.5,4060,4660,"proportional gas counting","organic silt",150,150
1003,"Hanging Lake","Radiocarbon",5640,"Radiocarbon years BP",80.5,5360,5920,"proportional gas counting","organic silt",140,140
1003,"Hanging Lake","Radiocarbon",7870,"Radiocarbon years BP",105.5,7310,8430,"proportional gas counting","organic silt",280,280
1003,"Hanging Lake","Radiocarbon",10200,"Radiocarbon years BP",118,9820,10580,"proportional gas counting","organic silt",190,190
1003,"Hanging Lake","Radiocarbon",11500,"Radiocarbon years BP",130.5,11000,12000,"proportional gas counting","organic silt",250,250
1003,"Hanging Lake","Radiocarbon",9220,"Radiocarbon years BP",143,8940,9500,"proportional gas counting","organic silt",140,140
1003,"Hanging Lake","Radiocarbon",10500,"Radiocarbon years BP",155.5,10100,10900,"proportional gas counting","organic silt",200,200
